propertyname,address,city,beds,baths,minrent,maxrent,mindeposit,maxdeposit,minsqft,maxsqft,distance,url
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,2,1.5,1881,1881,0,0,892,924,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,2,1.5,1881,1881,0,0,924,924,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,2,2,1889,2175,0,0,983,983,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,2,2,1964,1964,0,0,983,983,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,2,1.5,1922,1922,0,0,930,949,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,2,1.5,1922,1922,0,0,930,930,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,2,2,1974,1974,0,0,983,983,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,2,2,2069,2069,0,0,983,983,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,2,2,1889,1889,0,0,983,983,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,2,2,1904,1904,0,0,983,983,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,1,1,1609,1823,0,0,764,764,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
Piedmont,"15309 NE 13th Pl, Bellevue, WA, 98007",Bellevue,1,1,1634,1634,0,0,764,764,0.0,https://www.apartments.com/piedmont-bellevue-wa/8c6pwz2/
